Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Meta do Objetivo Específico";"Região";"Unidade de Medida";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2025;170;"1189";"1319";"0271";9464;"060U";"Bioma Mata Atlântica";"ha";0,00;105.963.800,00;105.963.800,00;105.963.800,00;
2025;170;"1189";"1319";"0271";9464;"060U";"Bioma Pampa";"ha";0,00;19.383.600,00;19.383.600,00;19.383.600,00;
2025;170;"6114";"1320";"0237";9373;"05UT";"Bioma Amazônia";"%";20,00;20,00;20,00;20,00;
2025;170;"6114";"1320";"0237";9373;"05UT";"Bioma Caatinga";"%";20,00;20,00;20,00;20,00;
2025;170;"6114";"1320";"0237";9373;"05UT";"Bioma Cerrado";"%";20,00;20,00;20,00;20,00;
2025;170;"6114";"1320";"0237";9373;"05UT";"Bioma Mata Atlântica";"%";20,00;20,00;20,00;20,00;
2025;170;"6114";"1320";"0237";9373;"05UT";"Bioma Pampa";"%";20,00;20,00;20,00;20,00;
2025;170;"6114";"1320";"0237";9373;"05UT";"Bioma Pantanal";"%";20,00;20,00;20,00;20,00;
2025;173;"5837";"1325";"0302";10978;"06U6";"Região Nordeste";;12,00;24,00;36,00;48,00;
2025;173;"5837";"1325";"0302";10978;"06U6";"Região Norte";;8,00;16,00;24,00;32,00;
2025;174;"2224";"1279";"0102";9395;"06VK";"Região Centro-Oeste";"unidade";224,00;286,00;306,00;306,00;
2025;174;"2224";"1279";"0102";9395;"06VK";"Região Nordeste";"unidade";296,00;394,00;434,00;434,00;
2025;174;"2224";"1279";"0102";9395;"06VK";"Região Norte";"unidade";258,00;337,00;377,00;377,00;
2025;174;"2301";"1267";"0419";10323;"05Y1";"Região Centro-Oeste";"unidade";75.000,00;20.000,00;20.000,00;25.000,00;
2025;174;"2301";"1267";"0419";10323;"05Y1";"Região Sudeste";"unidade";175.000,00;65.000,00;65.000,00;75.000,00;
2025;174;"5662";"1268";"0026";11374;"06PI";"Nacional";"unidade";44,00;43,00;45,00;45,00;
2025;174;"5662";"1268";"0027";11499;"0741";"Região Centro-Oeste";"unidade";5,00;8,00;8,00;4,00;
2025;174;"5662";"1268";"0027";11499;"0741";"Região Nordeste";"unidade";5,00;10,00;10,00;10,00;
2025;174;"5662";"1268";"0027";11499;"0741";"Região Norte";"unidade";5,00;10,00;10,00;10,00;
2025;174;"5662";"1268";"0027";11499;"0741";"Região Sudeste";"unidade";3,00;5,00;5,00;2,00;
2025;174;"5662";"1268";"0027";11499;"0741";"Região Sul";"unidade";2,00;2,00;2,00;1,00;
2025;175;"5126";"1337";"0431";10456;"06P9";"Região Centro-Oeste";"pessoas/ano";12.000,00;9.641,00;96.410,00;9.641,00;
2025;175;"5126";"1337";"0431";10456;"06P9";"Região Nordeste";"pessoas/ano";12.000,00;2.000,00;2.000,00;2.000,00;
2025;175;"5126";"1337";"0431";10456;"06P9";"Região Norte";"pessoas/ano";12.000,00;672,00;672,00;672,00;
2025;175;"5126";"1337";"0431";10456;"06P9";"Região Sudeste";"pessoas/ano";12.000,00;474,00;474,00;474,00;
2025;175;"5126";"1337";"0431";10456;"06P9";"Região Sul";"pessoas/ano";12.000,00;1.746,00;1.746,00;1.746,00;
2025;175;"5126";"1337";"0455";10609;"06MT";"Região Centro-Oeste";;8,00;13,00;13,00;13,00;
2025;175;"5126";"1337";"0455";10609;"06MT";"Região Nordeste";;10,00;17,00;17,00;17,00;
2025;175;"5126";"1337";"0455";10609;"06MT";"Região Norte";;10,00;10,00;10,00;10,00;
2025;175;"5126";"1337";"0455";10609;"06MT";"Região Sudeste";;4,00;65,00;65,00;65,00;
2025;175;"5126";"1337";"0455";10609;"06MT";"Região Sul";;8,00;25,00;25,00;25,00;
2025;175;"5804";"1304";"0226";11405;"067H";"Região Centro-Oeste";"%";5,30;5,30;5,30;5,30;
2025;175;"5804";"1304";"0226";11405;"067H";"Região Nordeste";"%";22,80;22,80;22,80;22,80;
2025;175;"5804";"1304";"0226";11405;"067H";"Região Norte";"%";6,10;6,10;6,10;6,10;
2025;175;"5804";"1304";"0226";11405;"067H";"Região Sudeste";"%";36,60;36,60;36,60;36,60;
2025;175;"5804";"1304";"0226";11405;"067H";"Região Sul";"%";29,20;29,20;29,20;29,20;
2025;175;"5812";"1287";"0077";10960;"06L8";"Região Centro-Oeste";"pessoas/ano";1.250,00;200,00;200,00;200,00;
2025;175;"5812";"1287";"0077";10960;"06L8";"Região Nordeste";"pessoas/ano";1.250,00;700,00;700,00;700,00;
2025;175;"5812";"1287";"0077";10960;"06L8";"Região Norte";"pessoas/ano";1.250,00;200,00;200,00;200,00;
2025;175;"5812";"1287";"0077";10960;"06L8";"Região Sudeste";"pessoas/ano";1.250,00;700,00;700,00;700,00;
2025;175;"5812";"1287";"0077";10960;"06L8";"Região Sul";"pessoas/ano";1.250,00;200,00;200,00;200,00;
2025;175;"5812";"1287";"0083";8912;"06L9";"Região Centro-Oeste";"% de execução";25,00;25,00;25,00;25,00;
2025;175;"5812";"1287";"0083";8912;"06L9";"Região Nordeste";"% de execução";25,00;25,00;25,00;25,00;
2025;175;"5812";"1287";"0083";8912;"06L9";"Região Norte";"% de execução";25,00;25,00;25,00;25,00;
2025;175;"5812";"1287";"0083";8912;"06L9";"Região Sudeste";"% de execução";25,00;25,00;25,00;25,00;
2025;175;"5812";"1287";"0083";8912;"06L9";"Região Sul";"% de execução";25,00;25,00;25,00;25,00;
2025;175;"5815";"1299";"0090";8929;"06N0";"Região Centro-Oeste";"unidades/ano";2,00;0,00;1,00;2,00;
2025;175;"5815";"1299";"0090";8929;"06N0";"Região Nordeste";"unidades/ano";3,00;0,00;2,00;4,00;
2025;175;"5815";"1299";"0090";8929;"06N0";"Região Norte";"unidades/ano";3,00;0,00;2,00;3,00;
2025;175;"5815";"1299";"0090";8929;"06N0";"Região Sudeste";"unidades/ano";1,00;0,00;3,00;3,00;
2025;175;"5815";"1299";"0090";8929;"06N0";"Região Sul";"unidades/ano";1,00;0,00;2,00;3,00;
2025;182;"2305";"1251";"0105";9116;"05H7";"Região Centro-Oeste";"%";93,00;94,00;95,00;96,00;
2025;182;"2305";"1251";"0105";9116;"05H7";"Região Nordeste";"%";86,10;88,70;91,40;94,00;
2025;182;"2305";"1251";"0105";9116;"05H7";"Região Norte";"%";84,70;87,40;90,20;93,00;
2025;182;"2305";"1251";"0105";9116;"05H7";"Região Sudeste";"%";92,40;93,60;94,80;96,00;
2025;182;"2305";"1251";"0105";9116;"05H7";"Região Sul";"%";91,40;92,90;94,50;96,00;
2025;193;"2305";"1251";"0105";9116;"05H7";"Região Centro-Oeste";"%";93,00;94,00;95,00;96,00;
2025;193;"2305";"1251";"0105";9116;"05H7";"Região Nordeste";"%";86,10;88,70;91,40;94,00;
2025;193;"2305";"1251";"0105";9116;"05H7";"Região Norte";"%";84,70;87,40;90,20;93,00;
2025;193;"2305";"1251";"0105";9116;"05H7";"Região Sudeste";"%";92,40;93,60;94,80;96,00;
2025;193;"2305";"1251";"0105";9116;"05H7";"Região Sul";"%";91,40;92,90;94,50;96,00;
2025;193;"2319";"1257";"0245";9394;"056U";"Região Centro-Oeste";"%";0,10;13,64;14,29;14,94;
2025;193;"2319";"1257";"0245";9394;"056U";"Região Nordeste";"%";0,30;9,76;10,56;11,04;
2025;193;"2319";"1257";"0245";9394;"056U";"Região Norte";"%";0,10;14,97;15,51;16,04;
2025;193;"2319";"1257";"0245";9394;"056U";"Região Sudeste";"%";0,40;31,32;32,14;32,63;
2025;193;"2319";"1257";"0245";9394;"056U";"Região Sul";"%";0,20;29,13;30,03;30,63;
2025;193;"2319";"1257";"0251";9405;"056Y";"Região Centro-Oeste";"%";0,10;50,96;51,39;51,61;
2025;193;"2319";"1257";"0251";9405;"056Y";"Região Nordeste";"%";0,40;42,98;43,26;43,53;
2025;193;"2319";"1257";"0251";9405;"056Y";"Região Norte";"%";0,10;32,44;32,67;32,89;
2025;193;"2319";"1257";"0251";9405;"056Y";"Região Sudeste";"%";0,40;49,16;49,46;49,82;
2025;193;"2319";"1257";"0251";9405;"056Y";"Região Sul";"%";0,30;58,25;58,61;59,03;
2025;193;"3105";"1297";"0107";8969;"064S";"Região Nordeste";"%";100,00;90,00;90,00;90,00;
2025;193;"3105";"1297";"0107";8969;"064S";"Região Norte";"%";100,00;85,00;85,00;85,00;
2025;193;"5111";"1281";"0443";10553;"06NI";"Região Centro-Oeste";;127.733,00;140.507,00;154.557,00;170.013,00;
2025;193;"5111";"1281";"0443";10553;"06NI";"Região Nordeste";;533.430,00;586.774,00;645.451,00;709.996,00;
2025;193;"5111";"1281";"0443";10553;"06NI";"Região Norte";;167.378,00;184.116,00;202.527,00;222.780,00;
2025;193;"5111";"1281";"0443";10553;"06NI";"Região Sudeste";;571.022,00;628.124,00;690.936,00;760.030,00;
2025;193;"5111";"1281";"0443";10553;"06NI";"Região Sul";;261.747,00;287.921,00;316.714,00;348.385,00;
2025;193;"5111";"1281";"0444";10566;"06OU";"Região Centro-Oeste";;22.193,00;23.058,00;23.924,00;24.790,00;
2025;193;"5111";"1281";"0444";10566;"06OU";"Região Nordeste";;18.630,00;19.356,00;20.083,00;20.810,00;
2025;193;"5111";"1281";"0444";10566;"06OU";"Região Norte";;7.542,00;7.836,00;8.131,00;8.425,00;
2025;193;"5111";"1281";"0444";10566;"06OU";"Região Sudeste";;10.064,00;10.456,00;10.849,00;11.241,00;
2025;193;"5111";"1281";"0444";10566;"06OU";"Região Sul";;5.666,00;5.887,00;6.108,00;6.329,00;
2025;193;"5112";"1302";"0158";9095;"0683";"Nacional";"%";88,30;94,00;97,00;100,00;
2025;193;"5112";"1302";"0158";9095;"0683";"Região Centro-Oeste";"%";90,50;95,00;98,00;100,00;
2025;193;"5112";"1302";"0158";9095;"0683";"Região Nordeste";"%";87,70;94,00;97,00;100,00;
2025;193;"5112";"1302";"0158";9095;"0683";"Região Norte";"%";82,30;91,00;95,00;100,00;
2025;193;"5112";"1302";"0158";9095;"0683";"Região Sudeste";"%";90,30;95,00;98,00;100,00;
2025;193;"5112";"1302";"0158";9095;"0683";"Região Sul";"%";88,40;94,00;97,00;100,00;
2025;193;"5112";"1302";"0166";9154;"068S";"Região Centro-Oeste";;412.688,00;366.098,00;443.970,00;505.800,00;
2025;193;"5112";"1302";"0166";9154;"068S";"Região Nordeste";;1.134.256,00;1.195.109,00;1.451.293,00;1.653.646,00;
2025;193;"5112";"1302";"0166";9154;"068S";"Região Norte";;418.018,00;395.977,00;479.853,00;546.639,00;
