Exercício;"Código Agenda";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Meta do Objetivo Específico";"Meta Cumulativa";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2025;7;"5636";"1296";"0329";9691;"05A5";"Não";57.000,00;3.000,00;3.000,00;3.000,00;
2025;7;"5661";"1289";"0057";11623;"06U0";"Não";300,00;350,00;350,00;350,00;
2025;7;"5661";"1289";"0060";11628;"0742";"Sim";39,00;41,00;43,00;45,00;
2025;7;"5662";"1268";"0026";11374;"06PI";"Não";44,00;43,00;45,00;45,00;
2025;7;"5662";"1268";"0027";11499;"0741";"Não";20,00;35,00;35,00;27,00;
2025;7;"5663";"1291";"0063";11308;"06RC";"Sim";41,70;44,00;46,00;48,00;
2025;7;"5663";"1291";"0064";11622;"06RD";"Não";0,70;0,70;0,70;0,70;
2025;7;"5812";"1287";"0077";10960;"06L8";"Não";6.250,00;2.000,00;2.000,00;2.000,00;
2025;7;"5812";"1287";"0083";8912;"06L9";"Sim";25,00;50,00;75,00;100,00;
2025;7;"5814";"1314";"0224";10953;"06SD";"Sim";1,00;4,00;7,00;10,00;
2025;7;"5814";"1314";"0227";10421;"06ND";"Sim";500,00;1.000,00;1.500,00;2.000,00;
2025;7;"5838";"1340";"0518";11645;"06ST";"Sim";5,00;30,00;40,00;50,00;
2025;9;"2224";"1279";"0034";8854;"07CZ";"Não";5.075.000,00;5.150.000,00;5.225.000,00;5.300.000,00;
2025;9;"2224";"1279";"0101";9386;"07D6";"Sim";55,00;35,00;35,00;35,00;
2025;9;"2224";"1279";"0430";10441;"07D7";"Sim";20,00;28,00;28,00;28,00;
2025;9;"2310";"1253";"0140";10009;"05CT";"Sim";2.350,00;4.800,00;7.350,00;10.000,00;
2025;9;"2310";"1253";"0143";10811;"05IX";"Sim";49,62;50,14;50,65;51,03;
2025;9;"2320";"1260";"0507";11122;"06S4";"Não";1,00;2,00;1,00;1,00;
2025;9;"4101";"1265";"0451";10595;"06OM";"Não";175.000,00;175.000,00;175.000,00;175.000,00;
2025;9;"5111";"1281";"0039";8832;"06GC";"Não";41,50;45,40;48,50;51,80;
2025;9;"5111";"1281";"0433";10491;"06HB";"Não";50,20;53,40;53,40;60,00;
2025;9;"5111";"1281";"0435";10510;"06HP";"Não";5,55;5,57;5,57;5,60;
2025;9;"5111";"1281";"0436";10525;"06HV";"Não";5,00;5,10;5,10;5,30;
2025;9;"5111";"1281";"0438";10531;"06I0";"Não";4,00;4,10;4,10;4,20;
2025;9;"5111";"1281";"0439";10540;"06I9";"Não";21,60;23,50;24,80;25,50;
2025;9;"5111";"1281";"0441";10546;"06LH";"Não";3.400,00;4.100,00;6.200,00;7.300,00;
2025;9;"5111";"1281";"0443";10553;"06NI";"Não";1.661.310,00;1.827.442,00;2.010.185,00;2.211.204,00;
2025;9;"5111";"1281";"0444";10566;"06OU";"Não";64.094,00;66.594,00;69.094,00;71.594,00;
2025;9;"5111";"1281";"0448";10576;"06P4";"Não";3.324.429,00;2.510.885,00;2.516.863,00;2.642.706,00;
2025;9;"5111";"1281";"0449";10585;"06PR";"Não";5.030.426,00;5.108.759,00;5.190.299,00;5.273.295,00;
2025;9;"5111";"1281";"0450";10591;"06Q7";"Não";285.615,00;292.039,00;298.462,00;304.886,00;
2025;9;"5111";"1281";"0452";10598;"06PV";"Não";300.000,00;273.000,00;275.500,00;277.000,00;
2025;9;"5111";"1281";"0454";10606;"06IQ";"Não";70,00;80,00;97,00;100,00;
2025;9;"5111";"1281";"0457";10627;"06H5";"Não";94,05;95,00;95,05;96,00;
2025;9;"5111";"1281";"0458";10641;"06JD";"Não";31,00;36,00;40,00;45,00;
2025;9;"5111";"1281";"0462";10683;"06JA";"Não";77,40;80,80;84,20;87,10;
2025;9;"5111";"1281";"0466";10721;"06AA";"Não";100,00;100,00;100,00;100,00;
2025;9;"5115";"1300";"0310";9596;"061A";"Não";80,00;82,00;84,00;86,00;
2025;9;"5115";"1300";"0338";9646;"061G";"Não";100,00;100,00;100,00;100,00;
2025;9;"5117";"1266";"0152";10876;"05SP";"Não";22.000.000,00;26.000.000,00;27.000.000,00;28.000.000,00;
2025;9;"5117";"1266";"0153";10877;"05T5";"Não";207,00;207,00;207,00;207,00;
2025;9;"5121";"1316";"0388";10100;"05MT";"Sim";28,00;61,00;79,00;79,00;
2025;9;"5122";"1295";"0186";9207;"05LT";"Não";17,58;16,15;14,25;13,03;
2025;9;"5123";"1280";"0067";10906;"05KE";"Não";5,00;1,00;10,00;30,00;
2025;9;"5126";"1337";"0410";10210;"06NE";"Sim";553.875,00;581.568,00;610.647,00;673.238,00;
