"Exercício";"Programa";"Objetivo";"Objetivo Específico";"Indicador";"Meta do Objetivo Específico";"Região";"Unidade de Medida";"Valor esperado - 1º ano PPA";"Valor esperado - 2º ano PPA";"Valor esperado - 3º ano PPA";"Meta Final PPA";
2024;"2310";"1253";"0141";10266;"05FC";"No Estado do Amapá";"%";25,00;40,00;50,00;60,00;
2024;"2310";"1253";"0141";10266;"05FC";"No Estado do Amazonas";"%";25,00;40,00;50,00;60,00;
2024;"2310";"1253";"0141";10266;"05FC";"No Estado do Ceará";"%";25,00;40,00;50,00;60,00;
2024;"2310";"1253";"0141";10266;"05FC";"No Estado do Espírito Santo";"%";25,00;40,00;50,00;60,00;
2024;"2310";"1253";"0141";10266;"05FC";"No Estado do Maranhão";"%";25,00;40,00;50,00;60,00;
2024;"3106";"1278";"0145";9033;"06R5";"Região Norte";"%";55,00;58,00;61,00;64,00;
2024;"3106";"1278";"0145";9033;"06R5";"Região Nordeste";"%";56,00;60,00;65,00;69,00;
2024;"3106";"1278";"0145";9033;"06R5";"Região Centro-Oeste";"%";56,00;59,00;61,00;64,00;
2024;"3106";"1278";"0145";9033;"06R5";"Região Sudeste";"%";41,00;49,00;56,00;64,00;
2024;"3106";"1278";"0145";9033;"06R5";"Região Sul";"%";47,00;53,00;60,00;66,00;
2024;"3106";"1278";"0147";9035;"064K";"Região Nordeste";"km";0,00;0,00;511,00;2.899,00;
2024;"3106";"1278";"0147";9035;"064K";"Região Centro-Oeste";"km";1.434,00;3.515,00;3.838,00;3.838,00;
2024;"3106";"1278";"0147";9035;"064K";"Região Sudeste";"km";1.047,00;1.047,00;1.782,00;1.782,00;
2024;"3106";"1278";"0147";9035;"064K";"Região Sul";"km";0,00;1.890,00;3.728,00;4.773,00;
2024;"3106";"1278";"0147";9035;"064K";"Região Norte";"km";742,00;742,00;742,00;742,00;
2024;"3106";"1278";"0148";9037;"06C7";"Região Sul";"km";20,74;45,47;70,79;88,91;
2024;"3106";"1278";"0148";9037;"06C7";"Região Norte";"km";12,85;19,89;44,79;44,79;
2024;"3106";"1278";"0148";9037;"06C7";"Região Centro-Oeste";"km";50,17;156,38;238,55;400,47;
2024;"3106";"1278";"0148";9037;"06C7";"Região Sudeste";"km";49,88;77,93;229,97;325,60;
2024;"3106";"1278";"0149";9038;"064C";"Região Centro-Oeste";"%";100,00;100,00;100,00;100,00;
2024;"3106";"1278";"0149";9038;"064C";"Região Nordeste";"%";100,00;100,00;100,00;100,00;
2024;"3106";"1278";"0149";9038;"064C";"Região Norte";"%";100,00;100,00;100,00;100,00;
2024;"3106";"1278";"0149";9038;"064C";"Região Sudeste";"%";100,00;100,00;100,00;100,00;
2024;"3106";"1278";"0149";9038;"064C";"Região Sul";"%";100,00;100,00;100,00;100,00;
2024;"2305";"1251";"0151";9052;"05N2";"Região Sul";;1.778,00;2.113,00;2.280,00;2.449,00;
2024;"2305";"1251";"0151";9052;"05N2";"Região Norte";;2.101,00;2.971,00;3.406,00;3.841,00;
2024;"2305";"1251";"0151";9052;"05N2";"Região Sudeste";;8.418,00;12.163,00;14.395,00;15.909,00;
2024;"2305";"1251";"0151";9052;"05N2";"Região Nordeste";;9.983,00;13.401,00;15.109,00;16.819,00;
2024;"2305";"1251";"0151";9052;"05N2";"Região Centro-Oeste";;6.590,00;8.421,00;9.336,00;10.254,00;
2024;"2314";"1286";"0155";9094;"058G";"Superintendência Sudeste I";"d";29,00;29,00;28,00;27,00;
2024;"2314";"1286";"0155";9094;"058G";"Superintendência Sudeste II";"d";47,00;46,00;45,00;44,00;
2024;"2314";"1286";"0155";9094;"058G";"Superintendência Sudeste III";"d";45,00;44,00;43,00;42,00;
2024;"2314";"1286";"0155";9094;"058G";"Superintendência Nordeste";"d";50,00;49,00;48,00;46,00;
2024;"2314";"1286";"0155";9094;"058G";"Superintendência Norte/Centro-Oeste";"d";47,00;46,00;45,00;44,00;
2024;"2314";"1286";"0155";9094;"058G";"Superintendência Sul";"d";51,00;50,00;49,00;48,00;
2024;"2310";"1253";"0156";9214;"055C";"Região Sul";"unidade";60,00;95,00;135,00;175,00;
2024;"2310";"1253";"0156";9214;"055C";"Região Sudeste";"unidade";780,00;1.260,00;1.920,00;2.650,00;
2024;"2310";"1253";"0156";9214;"055C";"Região Centro-Oeste";"unidade";10,00;10,00;25,00;35,00;
2024;"2310";"1253";"0156";9214;"055C";"Região Nordeste";"unidade";390,00;630,00;960,00;1.320,00;
2024;"2310";"1253";"0156";9214;"055C";"Região Norte";"unidade";60,00;105,00;160,00;220,00;
2024;"5112";"1302";"0158";9095;"0683";"Região Nordeste";"%";87,70;94,00;97,00;100,00;
2024;"5112";"1302";"0158";9095;"0683";"Região Norte";"%";82,30;91,00;95,00;100,00;
2024;"5112";"1302";"0158";9095;"0683";"Região Sudeste";"%";90,30;95,00;98,00;100,00;
2024;"5112";"1302";"0158";9095;"0683";"Nacional";"%";88,30;94,00;97,00;100,00;
2024;"5112";"1302";"0158";9095;"0683";"Região Centro-Oeste";"%";90,50;95,00;98,00;100,00;
2024;"5112";"1302";"0158";9095;"0683";"Região Sul";"%";88,40;94,00;97,00;100,00;
2024;"3104";"1303";"0159";9742;"067R";"Região Norte";"unidade";31,00;33,00;36,00;41,00;
2024;"3104";"1303";"0159";9742;"067R";"Região Nordeste";"unidade";31,00;32,00;34,00;34,00;
2024;"3104";"1303";"0159";9742;"067R";"Região Centro-Oeste";"unidade";15,00;16,00;18,00;21,00;
2024;"3104";"1303";"0159";9742;"067R";"Região Sudeste";"unidade";26,00;27,00;29,00;32,00;
2024;"3104";"1303";"0159";9742;"067R";"Região Sul";"unidade";22,00;22,00;23,00;23,00;
2024;"2317";"1293";"0161";11313;"05X2";"Região Norte";"%";65,00;65,00;65,00;65,00;
2024;"2317";"1293";"0161";11313;"05X2";"Região Nordeste";"%";70,00;70,00;70,00;70,00;
2024;"2317";"1293";"0161";11313;"05X2";"Região Centro-Oeste";"%";51,00;51,00;51,00;51,00;
2024;"1617";"1305";"0168";11182;"06RB";"Região Norte";"%";0,36;0,66;1,08;1,28;
2024;"1617";"1305";"0168";11182;"06RB";"Região Nordeste";"%";0,26;0,52;0,68;0,74;
2024;"1617";"1305";"0168";11182;"06RB";"Região Sudeste";"%";0,10;0,22;0,34;0,48;
2024;"1617";"1305";"0168";11182;"06RB";"Região Sul";"%";0,16;0,40;0,54;0,62;
